,dealt_hand,max_hand,max_hand_ev_points,max_hand_max_points,max_hand_median_points,max_hand_stdev_points,median_hand,median_hand_ev_points,median_hand_max_points,median_hand_median_points,median_hand_stdev_points,ev_hand,ev_hand_ev_points,ev_hand_max_points,ev_hand_median_points,ev_hand_stdev_points,max_v_median_diff,max_v_ev_diff,median_v_ev_diff
35,"2H,3H,4H,5H,6H,3C","3H,4H,5H,3C",13.73913043478261,21,12.0,3.2210059340294825,"2H,3H,4H,5H",12.369565217391305,16,12.0,2.3224383321766124,"3H,4H,5H,3C",13.73913043478261,21,12.0,3.2210059340294825,1.3695652173913047,0.0,-1.3695652173913047
36,"2H,3H,4H,5H,6H,4C","4H,5H,6H,4C",15.608695652173912,24,14.0,3.684672521975718,"4H,5H,6H,4C",15.608695652173912,24,14.0,3.684672521975718,"4H,5H,6H,4C",15.608695652173912,24,14.0,3.684672521975718,0.0,0.0,0.0
37,"2H,3H,4H,5H,6H,5C","4H,5H,6H,5C",16.08695652173913,24,16.0,3.8112470222663735,"4H,5H,6H,5C",16.08695652173913,24,16.0,3.8112470222663735,"4H,5H,6H,5C",16.08695652173913,24,16.0,3.8112470222663735,0.0,0.0,0.0
38,"2H,3H,4H,5H,6H,6C","4H,5H,6H,6C",15.434782608695652,24,14.0,3.8738563841505735,"4H,5H,6H,6C",15.434782608695652,24,14.0,3.8738563841505735,"4H,5H,6H,6C",15.434782608695652,24,14.0,3.8738563841505735,0.0,0.0,0.0
39,"2H,3H,4H,5H,6H,7C","3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,"2H,3H,4H,5H",12.5,16,12.0,2.3546644016599148,"3H,4H,5H,6H",13.478260869565217,20,12.0,3.3449074422323632,0.9782608695652169,0.0,-0.9782608695652169
40,"2H,3H,4H,5H,6H,8C","3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,0.0,0.0,0.0
41,"2H,3H,4H,5H,6H,9C","3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,0.0,0.0,0.0
42,"2H,3H,4H,5H,6H,TC","3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,0.0,0.0,0.0
43,"2H,3H,4H,5H,6H,JC","3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,0.0,0.0,0.0
44,"2H,3H,4H,5H,6H,QC","3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,0.0,0.0,0.0
45,"2H,3H,4H,5H,6H,KC","3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,"3H,4H,5H,6H",13.5,20,12.5,3.3383295889478086,0.0,0.0,0.0
46,"2H,3H,4H,5H,6H,AC","3H,4H,5H,6H",13.58695652173913,20,12.5,3.2426058585068875,"3H,4H,5H,6H",13.58695652173913,20,12.5,3.2426058585068875,"3H,4H,5H,6H",13.58695652173913,20,12.5,3.2426058585068875,0.0,0.0,0.0
47,"2H,3H,4H,5H,7H,8H","3H,4H,5H,7H",11.934782608695652,18,12.0,3.1368928286375177,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5652173913043477,-0.5652173913043477,0.0
48,"2H,3H,4H,5H,7H,9H","3H,4H,5H,7H",12.021739130434783,18,12.0,3.1375087812876323,"2H,3H,4H,5H",12.543478260869565,16,12.0,2.3730573036030074,"2H,3H,4H,5H",12.543478260869565,16,12.0,2.3730573036030074,-0.5217391304347814,-0.5217391304347814,0.0
49,"2H,3H,4H,5H,7H,TH","3H,4H,5H,7H",11.978260869565217,18,12.0,3.1516424672773233,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5217391304347831,-0.5217391304347831,0.0
50,"2H,3H,4H,5H,7H,JH","3H,4H,5H,7H",11.978260869565217,18,12.0,3.1516424672773233,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5217391304347831,-0.5217391304347831,0.0
51,"2H,3H,4H,5H,7H,QH","3H,4H,5H,7H",11.978260869565217,18,12.0,3.1516424672773233,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5217391304347831,-0.5217391304347831,0.0
52,"2H,3H,4H,5H,7H,KH","3H,4H,5H,7H",11.978260869565217,18,12.0,3.1516424672773233,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5217391304347831,-0.5217391304347831,0.0
53,"2H,3H,4H,5H,7H,AH","3H,4H,5H,7H",11.978260869565217,18,12.0,3.1516424672773233,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5434782608695663,-0.5434782608695663,0.0
54,"2H,3H,4H,5H,7H,2D","2H,3H,4H,2D",12.347826086956522,18,12.0,2.152181232603568,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.373362644339439,"2H,3H,4H,5H",12.478260869565217,16,12.0,2.373362644339439,-0.13043478260869534,-0.13043478260869534,0.0
55,"2H,3H,4H,5H,7H,3D","3H,4H,5H,3D",13.73913043478261,21,12.0,3.2210059340294825,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"3H,4H,5H,3D",13.73913043478261,21,12.0,3.2210059340294825,1.304347826086957,0.0,-1.304347826086957
56,"2H,3H,4H,5H,7H,4D","3H,4H,5H,4D",11.782608695652174,20,10.0,3.3193911321088247,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,-0.6521739130434785,-0.6521739130434785,0.0
57,"2H,3H,4H,5H,7H,5D","3H,4H,5H,5D",12.478260869565217,20,12.0,2.9494943478861866,"2H,3H,4H,5H",12.434782608695652,16,12.0,2.325244779592926,"3H,4H,5H,5D",12.478260869565217,20,12.0,2.9494943478861866,0.04347826086956452,0.0,-0.04347826086956452
58,"2H,3H,4H,5H,7H,6D","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,"2H,3H,4H,5H",12.5,16,12.0,2.382808800088202,-0.5434782608695645,-0.5434782608695645,0.0
59,"2H,3H,4H,5H,7H,7D","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,-0.6086956521739122,-0.6086956521739122,0.0
60,"2H,3H,4H,5H,7H,8D","3H,4H,5H,7H",11.956521739130435,18,12.0,3.147884804747682,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5652173913043477,-0.5652173913043477,0.0
61,"2H,3H,4H,5H,7H,9D","3H,4H,5H,7H",12.043478260869565,18,12.0,3.1195193485829793,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,"2H,3H,4H,5H",12.565217391304348,16,12.0,2.353740983701794,-0.5217391304347831,-0.5217391304347831,0.0
62,"2H,3H,4H,5H,7H,TD","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
63,"2H,3H,4H,5H,7H,JD","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
64,"2H,3H,4H,5H,7H,QD","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
65,"2H,3H,4H,5H,7H,KD","3H,4H,5H,7H",12.0,18,12.0,3.148191720831359,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,"2H,3H,4H,5H",12.521739130434783,16,12.0,2.3827074276944575,-0.5217391304347831,-0.5217391304347831,0.0
66,"2H,3H,4H,5H,7H,AD","3H,4H,5H,7H",12.08695652173913,18,12.0,3.0610534639530136,"2H,3H,4H,5H",12.630434782608695,16,12.0,2.2346632423618744,"2H,3H,4H,5H",12.630434782608695,16,12.0,2.2346632423618744,-0.5434782608695645,-0.5434782608695645,0.0
